,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
155,12/5/17,41792,85008,252686,381,57
156,12/6/17,46335,87328,252724,368,55
157,12/7/17,45367,94653,252761,427,65
158,12/8/17,41330,81217,252791,443,58
159,12/9/17,10804,20955,252811,112,15
160,12/10/17,19815,43621,252830,287,26
161,12/11/17,41838,81071,252869,456,38
162,12/12/17,42620,88499,252915,262,42
163,12/13/17,32623,60051,252942,155,20
164,12/14/17,27494,49648,252960,134,10
165,12/15/17,22944,41598,252980,130,9
166,12/16/17,19060,38766,252992,240,24
167,12/17/17,22403,49790,253011,343,27
168,12/18/17,40168,79914,253054,409,34
169,12/19/17,49503,97301,253087,541,42
170,12/20/17,41461,78833,253142,422,40
171,12/21/17,37592,70297,253180,386,47
172,12/22/17,34338,62387,253212,506,23
173,12/23/17,9608,24205,253228,112,10
174,12/24/17,13215,37985,253250,492,39
175,12/25/17,6479,26767,253293,439,27
176,12/26/17,14113,32919,253324,220,29
177,12/27/17,16365,31793,253346,234,33
178,12/28/17,13419,34438,253365,121,17
179,12/29/17,13759,29284,253395,177,17
180,12/30/17,5956,13910,253407,53,10
181,12/31/17,6569,18326,253443,94,2
182,4/1/17,23849,67299,210739,767,43
183,4/2/17,39779,130087,210915,3639,58
184,4/3/17,43484,104217,211075,970,68
185,4/4/17,29990,63091,211171,183,23
186,4/5/17,47635,108281,211310,1192,59
187,4/6/17,18020,44411,211362,67,12
188,4/7/17,35779,81358,211440,456,43
189,4/8/17,35936,108886,211589,2719,83
190,4/9/17,43895,137240,211806,4390,114
191,4/10/17,50422,124356,212050,2164,139
192,4/11/17,57309,150222,212298,2699,135
193,4/12/17,51188,113959,212484,1493,108
194,4/13/17,52915,131228,212648,2388,129
195,4/14/17,52230,149382,212812,3451,273
196,4/15/17,42531,134526,212950,3981,235
197,4/16/17,48137,157912,213172,6143,361
198,4/17/17,53247,127619,213385,2019,234
199,4/18/17,53809,126129,213580,1624,194
200,4/19/17,45788,97587,213703,738,55
201,4/20/17,44260,108427,213819,1065,172
202,4/21/17,39868,92348,213913,1194,129
203,4/22/17,34596,101444,214028,5173,102
204,4/23/17,49106,142563,214278,4541,420
205,4/24/17,48692,103241,214462,1143,123
206,4/25/17,20332,47829,214552,201,36
207,4/26/17,37727,81859,214654,595,109
208,4/27/17,52035,122394,214793,1412,266
209,4/28/17,62199,163665,214965,2963,458
210,4/29/17,57701,180290,215219,5699,562
